,tipo,barrio,sup_cubierta,piso,habs,precio
64,PH,Almagro,167.0,0,6,289000.0
65,PH,Boedo,167.0,0,6,289000.0
66,PH,Boedo,167.0,0,5,289000.0
67,PH,Boedo,167.0,0,4,289000.0
68,PH,Balvanera,167.0,0,6,289000.0
69,PH,Balvanera,167.0,0,5,289000.0
70,PH,Balvanera,167.0,0,4,289000.0
71,apartment,Caballito,62.0,2,3,158000.0
72,apartment,Belgrano,185.0,1,4,585000.0
73,apartment,Belgrano,185.0,1,6,585000.0
74,apartment,Coghlan,56.0,7,2,138000.0
75,house,Caballito,99.0,0,4,250000.0
76,apartment,Abasto,52.0,1,3,99000.0
77,apartment,Versalles,48.0,3,3,125000.0
78,PH,Villa del Parque,160.0,0,5,280000.0
79,house,Capital Federal,460.0,0,3,900000.0
80,house,Capital Federal,300.0,0,2,495000.0
81,PH,Parque Patricios,30.0,0,1,70000.0
82,apartment,Saavedra,41.0,5,2,98000.0
83,apartment,Coghlan,83.0,2,3,270000.0
84,apartment,Saavedra,72.0,1,2,117000.0
85,PH,Parque Patricios,20.0,0,3,165000.0
86,PH,Villa Santa Rita,20.0,0,4,168000.0
87,apartment,Monserrat,145.0,1,6,270000.0
88,apartment,Monserrat,135.0,3,5,275000.0
89,apartment,Palermo,137.0,6,4,375000.0
90,apartment,Flores,158.0,1,6,249000.0
91,apartment,Flores,35.0,1,1,92000.0
92,apartment,Parque Chas,46.0,10,2,164220.0
93,PH,Las Cañitas,55.0,0,2,158000.0
94,apartment,Chacarita,33.0,9,2,84500.0
95,apartment,Chacarita,33.0,9,2,87500.0
96,apartment,Chacarita,33.0,9,2,89000.0
97,apartment,Congreso,44.0,1,2,87000.0
98,apartment,Chacarita,33.0,9,2,100000.0
99,apartment,Chacarita,34.0,9,2,86000.0
100,apartment,Chacarita,34.0,9,2,87500.0
101,apartment,Chacarita,34.0,9,2,89000.0
102,apartment,Chacarita,34.0,9,2,90500.0
103,apartment,Chacarita,34.0,9,2,100000.0
104,PH,Floresta,54.0,0,3,117000.0
105,apartment,Flores,46.0,1,1,88000.0
106,apartment,Flores,51.0,7,2,103500.0
107,apartment,Flores,44.0,6,1,86000.0
108,apartment,Flores,45.0,1,2,74000.0
109,PH,Villa del Parque,150.0,0,4,279000.0
110,apartment,Capital Federal,47.0,1,1,82000.0
111,house,Mataderos,69.0,0,4,165000.0
112,apartment,Recoleta,140.0,11,5,450000.0
113,apartment,Belgrano,84.0,11,3,307650.0
114,apartment,Belgrano,84.0,11,3,385014.0
115,apartment,Belgrano,120.0,11,4,587895.0
116,apartment,Belgrano,100.0,11,3,506468.0
117,apartment,Recoleta,152.0,1,4,660000.0
118,apartment,Villa Urquiza,116.0,18,4,590000.0
119,apartment,Palermo Chico,431.0,1,7,2850000.0
120,apartment,Barrio Norte,60.0,1,4,194000.0
121,apartment,Caballito,29.0,6,1,95000.0
122,apartment,Parque Chas,52.0,10,2,138700.0
123,apartment,Parque Chas,47.0,10,2,133620.0
124,apartment,Villa Devoto,37.0,1,2,85000.0
125,apartment,Liniers,48.0,4,2,98000.0
126,apartment,Balvanera,80.0,9,4,148000.0
127,apartment,Monserrat,57.0,8,1,107000.0
128,apartment,Las Cañitas,30.0,1,1,138300.0
129,PH,Monte Castro,73.0,0,3,235000.0
130,house,Villa Pueyrredón,110.0,0,4,250000.0
131,apartment,San Cristobal,50.0,2,2,80000.0
132,apartment,Coghlan,83.0,4,3,274000.0
133,apartment,Barrio Norte,82.0,1,4,275000.0
134,apartment,Recoleta,122.0,3,3,264000.0
135,PH,Villa Devoto,20.0,0,4,177000.0
136,apartment,Recoleta,32.0,11,1,227000.0
137,apartment,Recoleta,295.0,1,5,1250000.0
138,apartment,Balvanera,53.0,6,3,146000.0
139,apartment,Centro / Microcentro,26.0,2,1,89000.0
140,PH,Colegiales,200.0,0,6,429000.0
141,house,Belgrano,246.0,0,5,635000.0
142,apartment,Belgrano,122.0,3,3,239000.0
143,apartment,Recoleta,37.0,1,1,178000.0
144,apartment,Recoleta,110.0,10,3,505000.0
145,apartment,San Cristobal,31.0,7,1,85000.0
146,PH,Almagro,65.0,0,3,230000.0
147,apartment,Balvanera,153.0,3,4,145000.0
148,apartment,Flores,72.0,1,3,110000.0
149,apartment,Barrio Norte,32.0,3,1,99500.0
150,apartment,Recoleta,100.0,1,4,320000.0
151,apartment,Colegiales,58.0,4,2,136000.0
152,apartment,Boedo,145.0,1,4,225000.0
153,PH,Liniers,54.0,0,2,127000.0
154,apartment,Caballito,94.0,1,4,224500.0
155,apartment,Parque Avellaneda,59.0,3,4,90000.0
156,PH,Parque Avellaneda,59.0,0,4,90000.0
157,PH,Flores,59.0,0,4,90000.0
158,apartment,Flores,59.0,3,4,90000.0
159,apartment,Puerto Madero,185.0,3,4,1370000.0
160,apartment,Caballito,37.0,24,1,127500.0
161,apartment,Caballito,37.0,24,1,127500.0
162,apartment,Caballito,36.0,24,1,128000.0
163,apartment,Caballito,36.0,24,1,128000.0
164,apartment,Caballito,25.0,24,1,90000.0
165,apartment,Caballito,36.0,24,1,123500.0
166,apartment,Caballito,36.0,24,1,123500.0
167,apartment,Caballito,36.0,24,1,124500.0
168,apartment,Caballito,36.0,24,1,124500.0
169,apartment,Caballito,25.0,24,1,87100.0
170,apartment,Caballito,43.0,24,2,163700.0
171,apartment,Puerto Madero,186.0,40,3,1350000.0
172,apartment,Palermo,49.0,10,1,121966.0
173,apartment,Puerto Madero,112.0,25,2,1350000.0
174,apartment,Puerto Madero,137.0,18,3,800000.0
175,apartment,San Cristobal,115.0,6,4,195000.0
176,PH,Balvanera,324.0,0,1,395000.0
177,house,Parque Patricios,20.0,0,4,295000.0
178,apartment,Puerto Madero,72.0,22,2,460000.0
179,apartment,Once,70.0,8,3,100000.0
180,apartment,Palermo,143.0,5,5,480000.0
181,apartment,Palermo Hollywood,143.0,5,5,480000.0
182,apartment,Colegiales,143.0,5,5,480000.0
183,PH,San Telmo,170.0,0,5,220000.0
184,house,Barracas,300.0,0,3,250000.0
185,house,San Telmo,173.0,0,2,320000.0
186,store,Barracas,73.0,0,4,400000.0
187,house,Barracas,170.0,0,3,360000.0
188,PH,Barracas,212.0,0,4,185000.0
189,apartment,Barracas,46.0,1,2,120000.0
190,apartment,Barracas,36.0,1,2,120000.0
191,apartment,Barracas,81.0,1,3,155000.0
192,apartment,Barracas,45.0,1,2,130000.0
193,apartment,Barracas,45.0,1,2,130000.0
194,PH,Barracas,118.0,0,4,182000.0
195,PH,Barracas,140.0,0,6,200000.0
196,house,Barracas,320.0,0,2,550000.0
197,house,Barracas,195.0,0,5,510000.0
198,house,Constitución,105.0,0,2,350000.0
199,PH,Boedo,230.0,0,5,240000.0
200,house,Boca,524.0,0,2,180000.0
201,apartment,Barracas,54.0,1,2,95000.0
202,apartment,Barracas,55.0,1,2,95000.0
203,PH,Barracas,135.0,0,4,250000.0
204,PH,Barracas,200.0,0,4,120000.0
205,PH,Barracas,81.0,0,4,140000.0
206,apartment,San Nicolás,78.0,4,3,135000.0
207,apartment,Balvanera,78.0,4,3,135000.0
208,apartment,Monserrat,78.0,4,3,135000.0
209,apartment,Villa Urquiza,31.0,14,1,104500.0
210,apartment,Villa Urquiza,155.0,14,4,510000.0
211,apartment,Villa Urquiza,67.0,14,3,221000.0
212,PH,Villa Pueyrredón,80.0,0,4,291000.0
213,PH,Villa Crespo,120.0,0,4,340000.0
214,apartment,Almagro,78.0,1,4,187000.0
215,apartment,Flores,51.0,3,2,116000.0
216,apartment,Flores,50.0,4,2,119500.0
217,apartment,Flores,57.0,3,2,121000.0
218,apartment,Palermo,65.0,7,3,175000.0
219,house,Villa Devoto,170.0,0,8,255000.0
220,PH,San Cristobal,20.0,0,5,280000.0
221,apartment,Villa Crespo,53.0,5,3,156000.0
222,apartment,Villa Devoto,43.0,3,3,120000.0
223,PH,Mataderos,70.0,0,3,158000.0
224,apartment,Parque Chacabuco,65.0,1,3,186900.0
225,apartment,Barracas,46.0,7,2,176510.0
226,apartment,Flores,64.0,1,3,150000.0
227,apartment,Barracas,50.0,7,2,138020.0
228,apartment,Barrio Norte,23.0,1,2,67000.0
229,house,Capital Federal,375.0,0,3,495000.0
230,apartment,Barracas,95.0,12,3,206000.0
231,apartment,Barracas,35.0,11,1,84000.0
232,apartment,Villa Crespo,102.0,2,4,149500.0
233,apartment,Monserrat,36.0,4,1,76230.0
234,apartment,Monserrat,36.0,3,1,72600.0
235,apartment,Monserrat,36.0,1,1,71520.0
236,apartment,Palermo,76.0,27,3,370000.0
237,apartment,Monserrat,36.0,3,1,71520.0
238,apartment,Monserrat,50.0,1,2,99000.0
239,apartment,Monserrat,36.0,4,1,75096.0
240,apartment,Monserrat,50.0,2,2,99000.0
241,apartment,Monserrat,36.0,2,1,72600.0
242,apartment,San Cristobal,58.0,5,3,78000.0
243,apartment,San Telmo,56.0,1,2,120000.0
244,apartment,Belgrano,149.0,5,5,520000.0
245,apartment,Centro / Microcentro,90.0,5,4,169000.0
246,apartment,Barrio Norte,110.0,2,3,205000.0
247,apartment,Barrio Norte,41.0,6,2,160000.0
248,apartment,Almagro,63.0,1,4,160000.0
249,PH,Almagro,63.0,1,4,160000.0
250,PH,Abasto,63.0,1,4,160000.0
251,apartment,Almagro,63.0,1,4,160000.0
252,apartment,Abasto,63.0,1,4,160000.0
253,PH,Abasto,63.0,1,4,160000.0
254,PH,Almagro,63.0,1,4,160000.0
255,house,Mataderos,238.0,0,4,270000.0
256,house,Velez Sarsfield,202.0,0,6,390000.0
257,house,Almagro,159.0,0,4,309000.0
258,PH,Almagro,130.0,0,4,315000.0
259,apartment,Barrio Norte,29.0,12,1,69900.0
260,apartment,Recoleta,110.0,27,3,480000.0
261,apartment,Villa Urquiza,75.0,8,3,195000.0
262,apartment,Caballito,97.0,1,4,350000.0
263,apartment,Flores,70.0,4,3,190000.0
264,PH,Flores,64.0,0,3,150000.0
265,apartment,Saavedra,60.0,4,3,125000.0
266,apartment,Colegiales,28.0,15,1,99000.0
267,house,Caballito,360.0,0,7,790000.0
268,PH,San Cristobal,80.0,1,3,118000.0
269,apartment,Capital Federal,66.0,18,3,179000.0
270,apartment,Abasto,28.0,7,1,60000.0
271,apartment,Catalinas,285.0,1,5,550000.0
272,house,Villa Crespo,380.0,0,4,580000.0
273,house,Capital Federal,524.0,0,2,650000.0
274,apartment,Villa Crespo,42.0,8,2,130000.0
275,house,Capital Federal,240.0,0,3,440000.0
276,apartment,Puerto Madero,177.0,47,4,1200000.0
277,PH,Palermo Hollywood,60.0,2,3,187000.0
278,house,Paternal,242.0,0,7,400000.0
279,apartment,Saavedra,51.0,3,2,134000.0
280,apartment,Palermo Hollywood,64.0,1,2,225000.0
281,house,Palermo Chico,290.0,0,1,1440000.0
282,apartment,Parque Avellaneda,76.0,1,3,125000.0
283,apartment,Villa Urquiza,43.0,4,1,74500.0
284,apartment,Villa Urquiza,45.0,2,2,110000.0
285,apartment,Villa Urquiza,45.0,3,2,110000.0
286,house,Capital Federal,330.0,0,5,340000.0
287,apartment,Coghlan,50.0,3,2,124000.0
288,apartment,Pompeya,154.0,1,4,160000.0
289,apartment,Villa Crespo,47.0,4,2,120000.0
290,apartment,Flores,29.0,1,2,69900.0
291,apartment,Flores,40.0,1,2,83900.0
292,apartment,Flores,35.0,2,2,81900.0
293,apartment,Palermo,137.0,1,3,340000.0
294,apartment,San Nicolás,80.0,3,3,137000.0
295,apartment,San Nicolás,33.0,3,2,72000.0
296,apartment,San Telmo,163.0,1,5,245000.0
297,PH,Villa General Mitre,20.0,0,3,205000.0
298,house,Villa Devoto,500.0,0,5,850000.0
299,apartment,Villa Urquiza,45.0,3,2,110000.0
300,apartment,Palermo,52.0,33,2,338900.0
301,PH,Parque Chacabuco,118.0,0,4,105000.0
302,apartment,Caballito,65.0,4,3,206000.0
303,apartment,Palermo Soho,35.0,9,1,143000.0
304,apartment,Barrio Norte,32.0,1,1,98500.0
305,apartment,Palermo Hollywood,35.0,10,1,101300.0
306,apartment,Palermo Hollywood,40.0,10,1,102400.0
307,apartment,Palermo Hollywood,35.0,10,1,95300.0
308,apartment,Palermo Hollywood,40.0,10,1,104900.0
309,apartment,Palermo Hollywood,35.0,10,1,93800.0
310,PH,Villa Urquiza,45.0,0,2,100000.0
311,apartment,Monserrat,180.0,3,9,225000.0
312,apartment,Agronomía,111.0,1,3,210000.0
313,apartment,Saavedra,52.0,6,3,154000.0
314,apartment,Barrio Norte,35.0,2,1,89900.0
315,apartment,Almagro,29.0,5,1,65000.0
316,apartment,Flores,50.0,7,2,103000.0
317,apartment,Parque Centenario,40.0,2,1,92000.0
318,apartment,Caballito,57.0,5,2,119000.0
319,PH,Villa Pueyrredón,20.0,0,7,320000.0
320,house,Villa Devoto,20.0,0,5,317000.0
321,apartment,San Cristobal,43.0,5,2,110000.0
322,PH,San Cristobal,20.0,0,4,279900.0
323,apartment,Palermo,60.0,3,3,160000.0
324,apartment,Villa Devoto,37.0,1,2,129000.0
325,apartment,Villa Crespo,30.0,2,1,87500.0
326,apartment,Barrio Norte,23.0,4,1,65000.0
327,apartment,Recoleta,155.0,18,5,520000.0
328,apartment,Palermo Hollywood,27.0,10,1,107580.0
329,apartment,Palermo Hollywood,33.0,10,1,122815.0
330,apartment,Palermo Hollywood,40.0,10,1,120313.0
331,apartment,Palermo Hollywood,35.0,10,1,106370.0
332,apartment,Puerto Madero,141.0,30,4,1219050.0
333,apartment,Puerto Madero,141.0,30,4,1224300.0
334,apartment,Puerto Madero,141.0,30,4,1234800.0
335,apartment,Puerto Madero,188.0,30,4,1678950.0
336,apartment,Puerto Madero,188.0,30,4,1754550.0
337,apartment,Puerto Madero,189.0,3,4,1270800.0
338,apartment,Flores,80.0,5,3,175000.0
339,apartment,Coghlan,50.0,3,2,124000.0
340,house,Capital Federal,224.0,0,3,330000.0
341,apartment,Coghlan,50.0,3,2,124000.0
342,apartment,Coghlan,50.0,3,2,129000.0
343,apartment,Coghlan,30.0,2,1,94000.0
344,apartment,Coghlan,30.0,2,1,94000.0
345,house,Capital Federal,493.0,0,2,765000.0
346,apartment,Capital Federal,62.0,1,2,120000.0
347,apartment,Recoleta,335.0,8,6,1600000.0
348,house,Palermo,105.0,0,1,400000.0
349,store,Villa Devoto,20.0,1,1,260000.0
350,apartment,Colegiales,55.0,4,2,136000.0
351,PH,Villa Urquiza,175.0,0,4,198000.0
352,PH,Caballito,109.0,0,4,205000.0
353,house,Palermo,220.0,0,5,424900.0
354,apartment,Boca,26.0,6,1,50000.0
355,apartment,Villa Crespo,44.0,2,1,115000.0
356,apartment,Boca,27.0,6,1,50000.0
357,apartment,Villa Crespo,38.0,2,1,100000.0
358,apartment,Recoleta,40.0,2,1,118000.0
359,apartment,Balvanera,28.0,17,1,54000.0
360,apartment,Belgrano,68.0,2,3,177000.0
361,apartment,Recoleta,30.0,4,1,101104.0
362,apartment,Recoleta,40.0,5,1,141300.0
363,apartment,Recoleta,71.0,6,2,256356.0
364,apartment,Recoleta,48.0,4,2,163691.0
365,apartment,Balvanera,53.0,1,3,85000.0
366,PH,Villa Crespo,160.0,1,5,390000.0
367,PH,Villa Crespo,160.0,1,5,390000.0
368,PH,Villa Crespo,45.0,0,2,109900.0
369,house,Almagro,400.0,0,6,550000.0
370,apartment,Villa del Parque,152.0,1,4,299000.0
371,house,Palermo,334.0,0,6,1200000.0
372,house,Palermo Hollywood,334.0,0,6,1200000.0
373,house,Colegiales,334.0,0,6,1200000.0
374,house,Mataderos,150.0,0,2,150000.0
375,apartment,Belgrano,30.0,9,1,110000.0
376,house,Parque Chacabuco,442.0,0,3,450000.0
377,apartment,Almagro,37.0,1,2,78000.0
378,PH,Caballito,94.0,0,4,224500.0
379,PH,Caballito,94.0,0,4,224500.0
380,apartment,Retiro,166.0,1,5,445000.0
381,house,Belgrano,430.0,0,4,2200000.0
382,apartment,Puerto Madero,141.0,30,4,1200000.0
383,PH,Colegiales,132.0,0,5,285000.0
384,apartment,Belgrano,30.0,9,1,114000.0
385,apartment,Belgrano,30.0,9,1,101000.0
386,house,Parque Avellaneda,225.0,0,3,198000.0
387,house,Capital Federal,200.0,0,3,340000.0
388,apartment,Recoleta,129.0,4,2,410000.0
389,house,Palermo Viejo,96.0,0,3,280000.0
390,apartment,Caballito,60.0,2,1,132900.0
391,apartment,Palermo,63.0,17,3,148000.0
392,apartment,Caballito,111.0,1,4,270000.0
393,apartment,Palermo,67.0,8,2,185000.0
394,apartment,Flores,30.0,1,1,69500.0
395,apartment,Palermo,150.0,10,3,365000.0
396,apartment,Villa Urquiza,137.0,1,3,189000.0
397,PH,Floresta,72.0,0,5,149500.0
398,apartment,Belgrano,530.0,3,5,1500000.0
399,apartment,Villa Crespo,53.0,1,2,114000.0
400,apartment,Paternal,44.0,4,2,108000.0
401,apartment,Palermo Soho,31.0,3,1,102000.0
402,apartment,Belgrano,120.0,4,4,390000.0
403,PH,Villa Urquiza,60.0,0,4,270000.0
404,apartment,Las Cañitas,76.0,1,4,339000.0
405,house,Almagro,420.0,0,3,690000.0
406,house,Villa Lugano,108.0,0,3,163000.0
407,apartment,Nuñez,36.0,3,2,120000.0
408,PH,Colegiales,132.0,0,5,285000.0
409,apartment,Almagro,130.0,1,4,200000.0
410,apartment,Villa Devoto,43.0,1,2,115000.0
411,house,Palermo Viejo,64.0,0,2,205000.0
412,house,Villa Devoto,346.0,0,4,790000.0
413,house,Caballito,110.0,0,3,250000.0
414,apartment,Belgrano,108.0,8,5,270000.0
415,house,Belgrano,640.0,0,3,1800000.0
416,house,Belgrano,500.0,0,3,1700000.0
417,apartment,Palermo,330.0,1,5,1420000.0
418,house,Villa del Parque,408.0,0,5,349000.0
419,apartment,Almagro,55.0,1,2,109000.0
420,apartment,San Cristobal,78.0,11,2,96000.0
421,apartment,Barrio Norte,71.0,1,4,285000.0
422,apartment,Palermo,71.0,1,4,285000.0
423,apartment,Capital Federal,68.0,1,3,215000.0
424,apartment,Colegiales,55.0,1,2,156000.0
425,apartment,Colegiales,46.0,4,2,116000.0
426,apartment,Colegiales,55.0,1,2,136000.0
427,PH,Saavedra,120.0,0,5,190000.0
428,apartment,Nuñez,47.0,1,2,98000.0
429,apartment,Flores,40.0,8,1,85000.0
430,apartment,Villa Devoto,160.0,13,7,259000.0
431,apartment,Recoleta,40.0,2,2,119000.0
432,apartment,Liniers,45.0,2,2,93000.0
433,apartment,Liniers,34.0,1,1,74500.0
434,apartment,Liniers,45.0,3,2,93000.0
435,apartment,San Cristobal,53.0,7,3,119000.0
436,apartment,Chacarita,42.0,1,1,90000.0
437,house,Villa Devoto,218.0,0,7,369000.0
438,apartment,Villa Crespo,70.0,1,3,143000.0
439,apartment,Barrio Norte,62.0,1,3,199000.0
440,apartment,Villa Urquiza,41.0,1,2,139000.0
441,house,Almagro,210.0,0,5,450000.0
442,PH,Mataderos,45.0,0,2,80000.0
443,apartment,Parque Patricios,46.0,9,2,117000.0
444,apartment,Retiro,40.0,1,1,82000.0
445,store,Saavedra,20.0,0,1,45000.0
446,PH,Almagro,80.0,0,3,175000.0
447,apartment,Palermo Viejo,23.0,1,1,88000.0
448,house,Barracas,309.0,0,1,170000.0
449,apartment,Villa Devoto,41.0,1,2,142000.0
450,apartment,Caballito,48.0,1,2,122000.0
451,apartment,Balvanera,37.0,4,1,68000.0
452,apartment,Flores,108.0,3,3,170000.0
453,apartment,Palermo,134.0,3,4,460000.0
454,apartment,Floresta,84.0,10,4,167500.0
455,apartment,Recoleta,130.0,1,3,580000.0
456,house,Villa Luro,110.0,0,4,255000.0
457,house,Capital Federal,500.0,0,2,1500000.0
458,house,Capital Federal,450.0,0,2,920000.0
459,apartment,Flores,340.0,3,6,495000.0
460,apartment,Palermo,69.0,2,4,329000.0
461,apartment,Coghlan,59.0,7,2,144000.0
462,apartment,Barrio Norte,184.0,18,5,990000.0
463,apartment,Barracas,58.0,1,1,150000.0
464,apartment,Palermo Hollywood,60.0,1,3,160000.0
465,apartment,Palermo Chico,170.0,2,5,630000.0
466,apartment,Palermo,170.0,2,5,630000.0
467,apartment,Recoleta,282.0,7,7,730000.0
468,house,Parque Chas,120.0,0,2,310000.0
469,apartment,Recoleta,262.0,1,8,625000.0
470,PH,Villa Urquiza,100.0,0,3,249000.0
471,apartment,Flores,37.0,10,1,100000.0
472,apartment,Palermo,84.0,1,4,220000.0
473,apartment,Palermo,78.0,2,3,297838.0
474,apartment,Palermo,141.0,2,4,626893.0
475,apartment,Palermo,54.0,2,2,248392.0
476,apartment,Palermo,55.0,2,2,234592.0
477,apartment,Palermo,78.0,2,3,325669.0
478,apartment,Palermo,115.0,2,4,559867.0
479,apartment,Palermo,141.0,2,4,636297.0
480,apartment,Palermo,54.0,2,2,252117.0
481,apartment,Palermo,55.0,2,2,238111.0
482,apartment,Palermo,78.0,2,3,330554.0
483,apartment,Palermo,115.0,2,4,568265.0
484,apartment,Palermo,120.0,2,4,616000.0
485,apartment,Almagro,36.0,10,1,84000.0
486,apartment,Monserrat,49.0,8,1,107000.0
487,apartment,San Telmo,32.0,8,1,74500.0
488,apartment,San Telmo,40.0,8,1,107000.0
489,apartment,Monserrat,34.0,8,1,76000.0
490,apartment,Monserrat,34.0,8,1,75500.0
491,apartment,Monserrat,34.0,8,1,75500.0
492,apartment,Monserrat,34.0,8,1,75500.0
493,apartment,Monserrat,34.0,8,1,75500.0
494,apartment,Monserrat,34.0,8,1,77500.0
495,apartment,San Telmo,32.0,8,1,76000.0
496,apartment,San Telmo,32.0,8,1,76000.0
497,apartment,San Telmo,34.0,8,1,77500.0
498,apartment,Recoleta,33.0,2,1,110000.0
499,apartment,Flores,35.0,3,1,74000.0
500,apartment,Las Cañitas,79.0,1,3,480000.0
501,apartment,Parque Patricios,141.0,1,5,200000.0
502,apartment,Villa Crespo,75.0,1,4,149500.0
503,apartment,Palermo,39.0,2,1,82200.0
504,apartment,Palermo,77.0,2,3,155489.0
505,apartment,Palermo,99.0,2,3,480000.0
506,PH,Belgrano,250.0,0,5,430000.0
507,apartment,Colegiales,63.0,1,4,155000.0
508,apartment,Villa Urquiza,35.0,1,1,85000.0
509,apartment,Villa Urquiza,29.0,6,7,87000.0
510,apartment,Caballito,72.0,8,3,310000.0
511,apartment,Flores,46.0,2,3,102000.0
512,apartment,Caballito,46.0,2,3,102000.0
513,apartment,Villa General Mitre,46.0,2,3,102000.0
514,PH,Villa General Mitre,46.0,2,3,102000.0
515,PH,Flores,46.0,2,3,102000.0
516,PH,Caballito,46.0,2,3,102000.0
517,apartment,Flores,46.0,2,3,102000.0
518,apartment,Caballito,46.0,2,3,102000.0
519,apartment,Villa General Mitre,46.0,2,3,102000.0
520,PH,Flores,46.0,2,3,102000.0
521,PH,Caballito,46.0,2,3,102000.0
522,PH,Villa General Mitre,46.0,2,3,102000.0
523,PH,Almagro,220.0,0,6,295000.0
524,PH,Parque Centenario,220.0,0,6,295000.0
525,house,Liniers,133.0,0,5,225000.0
526,apartment,Flores,148.0,2,4,480000.0
527,apartment,Mataderos,38.0,1,2,88000.0
528,apartment,Retiro,110.0,27,3,480000.0
529,apartment,Palermo,74.0,7,4,182000.0
530,PH,Villa del Parque,70.0,0,3,226000.0
531,apartment,Puerto Madero,330.0,42,4,4000000.0
532,house,Parque Chacabuco,150.0,0,3,380000.0
533,apartment,Flores,39.0,5,1,104500.0
534,house,Capital Federal,400.0,0,4,1500000.0
535,apartment,Recoleta,109.0,4,4,248000.0
536,apartment,Villa Crespo,63.0,2,3,130000.0
537,apartment,Congreso,134.0,4,4,155000.0
538,PH,Boca,20.0,1,4,239000.0
539,apartment,Palermo,172.0,22,4,1250000.0
540,apartment,Balvanera,75.0,4,3,135000.0
541,apartment,Belgrano,145.0,10,4,309999.0
542,apartment,Palermo,44.0,5,1,120000.0
543,apartment,Villa del Parque,60.0,7,1,100000.0
544,apartment,Villa del Parque,68.0,8,2,137000.0
545,apartment,San Cristobal,57.0,7,3,115000.0
546,apartment,Monserrat,34.0,8,1,76500.0
547,apartment,Monserrat,34.0,8,1,76500.0
548,apartment,Monserrat,34.0,8,1,76500.0
549,apartment,San Telmo,49.0,8,1,109000.0
550,apartment,San Telmo,32.0,8,1,76500.0
551,apartment,Monserrat,32.0,8,1,76500.0
552,apartment,Monserrat,32.0,8,1,76000.0
553,apartment,Monserrat,34.0,8,1,78500.0
554,apartment,Monserrat,34.0,8,1,78000.0
555,apartment,Monserrat,34.0,8,1,78000.0
556,apartment,Monserrat,34.0,8,1,78000.0
557,apartment,Monserrat,34.0,8,1,78000.0
