Timestamp,De que pais sos?,Que edad tenes?,Trabajas en tu dia a dia con una gran cantidad de datos?,Cuantas horas (adicionales a las de las clases sincronicas) podes dedicarle al curso?,Programaste alguna vez?,Hace cuanto tiempo programas?,Usas habitualmente chatGPT?,"Que carrera estudias, estudiaste o vas a estudiar?",Es tu primer curso online?,Por que elegiste los sabados?,"En base a la informacion de la figura, cual sera la venta si para manana se pronostica una maxima de 36 grados?"
8/19/2023 11:26:58,Argentina,25,No,6,Si,1 año,Si,Ingeniería en Sistemas de Información ,No,Para poder cursar junto a materias de la facultad,
8/19/2023 11:27:06,México,23,Si,5,Si,6 meses,Si,Ing. en Sistemas de Computación Administrativa,No,"por que choca con mi trabajo entre semana, salgo muy cansado y tengo una maestría en sistemas computacionales que acaba en marzo y mis clases son entre semana. ",1200
8/19/2023 11:27:10,España,34,Si,16,Si,1 año,Si,Administración Internacional de Empresas,Si,Por que vivo en España y los otros horarios eran muy tarde (1am),900
8/19/2023 11:27:15,México,20,No,2,No,Nunca programe,Si,Marketing,No,"Porque en mi semana tengo clases de la universidad y trabajo, entonces a este horario se acomoda bien para poder aprender ciencia de datos.",970
8/19/2023 11:27:21,Argentina,27,No,8,Si,1 año,Si,Ingenieria Ambiental,No,Tengo otras actividades durante la semana ,880
8/19/2023 11:27:23,argentina,35,No,5,No,Nunca programe,No,ninguna,No,era el unico horario compatible con mi horario laboral,900
8/19/2023 11:27:25,Portugal,22,No,6,Si,1 año,Si,,No,para poder estar deseando del trabajo y poder estar al 100% para el curso,650
8/19/2023 11:27:35,España,48,Si,,Si,,Si,doctorado,No,Necesidades de horario,700
8/19/2023 11:27:40,ARGENTINA,33,Si,3,Si,6 meses,No,INGENIERIA INDUSTRIAL,No,DISPONIBILIDAD HORARIA,900
8/19/2023 11:27:42,argentina,29,Si,10,Si,1 año,Si,estudie ingenieria civil,No,para estudiar tranquilo,900
8/19/2023 11:27:48,Argentina,25,Si,4,Si,1 año,No,Ingeniería Industrial,No,Por los horarios del trabajo y de estudio,800
8/19/2023 11:27:53,Argentina,33,Si,6,Si,1 año,Si,Lic. Artes Multimediales,No,"Porque, trabajo y estudio. Entonces me es más conveniente los sabados.",700
8/19/2023 11:27:53,Argentina,30,Si,,No,Nunca programe,Si,Contador publico,No,Por la carga de trabajo de los dias de semana,600
8/19/2023 11:27:53,Argentina,31,No,2.5,Si,10 años,No,Lic en Infromatica,Si,Los otros horarios se me cruzaban con el trabajo,800
8/19/2023 11:27:54,Argentina,23,No,5,Si,5 años,Si,Ingeniería Informática,No,Porque tengo ocupados el resto de días,1400
8/19/2023 11:27:57,Chile,26,No,2,No,Nunca programe,Si,Ing en Control de gestión,No,En la semana es agotador despues del trabajo,800
8/19/2023 11:28:00,Argentina,28,Si,2,No,Nunca programe,No,Contador Publico,No,Por temas laborales,700
8/19/2023 11:28:04,Argentina,30,Si,1,No,Nunca programe,No,Administración ,No,Tengo un bebé y la cursada nocturna se me complica,835
8/19/2023 11:28:06,Argentina,30,Si,10,Si,6 meses,Si,Historia ,No,Comodidad,1200
8/19/2023 11:28:08,Argentina,21,No,4.5,Si,6 meses,Si,Actuario en economia,No,,825
8/19/2023 11:28:16,Argentina,41,No,4,Si,1 año,No,Ingenieria Industrial y Profesorado en fisica y matematicas,No,Porque en la semana no podia por cuestiones laborales y familiares,1300
8/19/2023 11:28:20,Argentina,44,Si,5,Si,6 meses,Si,Analista de Sistemas,No,Disponibilidad horaria,900
8/19/2023 11:28:25,Argentina,29,Si,6,No,Nunca programe,No,Lic. en comercio Internacional,No,Por mas tiempo y comodidad,800
8/19/2023 11:28:27,Argentina,31,Si,6,No,Nunca programe,No,Soy Lic en Administración,No,Xq los días de semana a la noche me cuesta prestar atención y ya estoy cansado,800
8/19/2023 11:28:36,Argentina,26,Si,4,No,Nunca programe,Si,Actuario ,No,Se amolda mejor a mis horarios de cursada de la Facultad y del trabajo,800
8/19/2023 11:28:40,Argentina,38,No,1.5,No,Nunca programe,Si,Administración de Empresas,No,"porque trabajo y es tranquilo me da tiempo a cursar de 9 a 13 horas, me perderé un poco por sábado que lo veré grabado.",800
8/19/2023 11:28:47,Argentina,36,No,4,Si,6 meses,No,Computer Science,No,Por los horarios de mi trabajo.,850
8/19/2023 11:28:49,Uruguay,36,Si,12,Si,5 años,Si,Economía,No,Para poder concentrar todo el cursado de clase en un solo día y dedicarle foco ese día para complementar en la semana,800
8/19/2023 11:28:51,Argentina,42,Si,2,Si,6 meses,Si,Ingeniería en Informática,No,"Era el único hueco que me quedaba, intenté cursar en la semana este curso y no pude por los horarios.",
8/19/2023 11:28:52,Venezuela,27,Si,6,Si,1 año,Si,Ingenieria en tecnologias biologicas,No,trabajo y estudio entre semana,600
8/19/2023 11:29:06,Argentina,3,No,1,No,Nunca programe,Si,Estudié Contadora y Lic. en Administración de Empresas,No,Por el cuidado de mi hija para hacer el curso,620
8/19/2023 11:29:06,Argentina,33,No,10,No,Nunca programe,No,Estudie Ciencias economicas y data analytics,No,"Como trabajo toda la semana, prefiero cursar solo un dia para estar mas atenta y tranquila",600
8/19/2023 11:29:24,Argentina,40,No,,Si,6 meses,No,Licenciatura en Administracion / ciencia de datos,No,conveniencia horaria,1600
8/19/2023 11:29:27,México,30,No,6,No,Nunca programe,No,Comunicación y periodismo,No,Se me dificultan los horarios disponibles entre semana,600
8/19/2023 11:29:35,España,37,No,5,No,Nunca programe,No,Ingeniería metalúrgica,No,Diferencia horaria con Argentina,1500
8/19/2023 11:29:37,Argentina,23,No,3.5,No,Nunca programe,Si,Ing Industrial,No,"Porque trabajo y estudio, entonces tengo muy poca hora entre semana libre. Además lo bueno es que los sabados solo me puedo dedicar a esto; entonces no estoy cansada por la facu o el trabajo",760
8/19/2023 11:29:46,Argentina ,29,Si,4,No,Nunca programe,Si,Ingeniería Industrial ,No,"Por qué quería estar más dedicada a la cursada, sin el stress de la semana ",1300
8/19/2023 11:29:56,Perú,31,Si,7,No,Nunca programe,Si,Administración y Finanzas,Si,Por cruce con el trabajo.,800
8/19/2023 11:29:57,Argentina,32,Si,6,Si,6 meses,Si,Licenciatura en Seguridad,No,Trabajo de Lunes a Viernes de 12 a 22 hs,800
8/19/2023 11:29:58,Argentina,31,No,10,Si,6 meses,No,Tecnicatura en desarrollo de aplicaciones móviles,No,Se adapta a mis tiempos y horarios,
8/19/2023 11:30:00,Venezuela,34,Si,10,Si,6 meses,No,Soy Ingeniero Químico tbrabajo en Investigación y Desarrollo,No,Para tener un horario mas cómodo para ver la clase y tener toda la semana para practicar y hacer las asignaciones propias del curso,900
8/19/2023 11:30:07,Argentina,25,No,8,No,Nunca programe,No,Tecnicatura Superior en Ciencia de Datos e Inteligencia Artificial,No,"Es más cómodo y tranquilo para mi, y puedo dedicarle de lleno a la cursada.",600
8/19/2023 11:30:17,Argentina,46,No,10,Si,10 años,No,Ingeniería en Sistemas de Información,No,Por cuestiones de organización familiar,1000
8/19/2023 11:30:22,Colombia,31,Si,5,Si,6 meses,No,Data analytics,No,por que no trabajo,800
8/19/2023 11:30:26,Colombia ,23,Si,12,Si,1 año,Si,Ingeniería de sistemas ,No,Porque trabajo entre semana ,700
8/19/2023 11:30:30,Venezuela,27,No,8,Si,6 meses,No,Ingenieria Mecanica,Si,Trabajo,800
8/19/2023 11:30:50,Argentina,29,Si,24,No,Nunca programe,No,Lic. en Biotecnología / PhD Ciencias Biomédicas,No,Es más cómodo y estoy más descansada,1400
8/19/2023 11:31:01,Colombia y Vivo en C.A.B.A,34,No,14,Si,6 meses,No,,No,Porque los dias de semana en los horarios que habian disponibles no me sirven ,
8/19/2023 11:31:12,Argentina,20,No,150,Si,1 año,No,Estudie Electrónica,No,Porque me queda cómodo ,900
8/19/2023 11:31:17,Chile,29,Si,8,Si,6 meses,No,Ingeniería en Finanzas,No,Porque me acomoda,900
8/19/2023 11:31:53,Argentina,40,No,6,Si,6 meses,No,"Terminadas: Contaduría, Licenciatura en Administración. En curso: Licenciatura en Sistemas.",No,No tengo tiempo de lunes a viernes.,1200
8/19/2023 11:31:55,Argentina,40,Si,7,Si,10 años,Si,Estudié Ingeniería Eléctrica,No,Por el cuidado de mi hija. Tengo más tiempo.,735
8/19/2023 11:32:25,Perú,22,No,3,Si,6 meses,Si,Negocios Internacionales,No,Tengo disponibilidad,660
8/19/2023 11:32:27,Argentina,36,No,2,Si,6 meses,No,Comercio Exterior - Economía,No,Disponibilidad,806
8/19/2023 11:33:34,Perú,27,No,150,No,Nunca programe,Si,Finanzas,No,"Porque trabajo de lunes a viernes, y me puedo quedar más tarde de mi hora de salida.",1050
8/19/2023 11:34:10,Argentina ,25,Si,4,Si,6 meses,Si,Ingeniería ,No,Agendada laboral,1300
8/19/2023 11:38:51,Perú,29,Si,10,Si,10 años,Si,Ing Sistemas,No,Tiempo,
8/19/2023 11:38:54,Argentina,32,Si,4,Si,5 años,Si,Ingeniería en Inteligencia Artificial,No,Por que en la semana trabajo y estudio,920
